CustomerID,Recency,Frequency,Monetary,prediction
16916.0,24,134,548.73,1
17884.0,4,111,685.47,1
13956.0,6,146,989.3199999999999,1
13094.0,22,22,1622.04,2
12493.0,166,19,362.79,0
13533.0,183,75,269.09,0
15776.0,134,17,234.77999999999997,2
17633.0,32,70,1324.84,1
16629.0,74,56,390.34999999999997,2
14452.0,11,59,242.1,2
14473.0,75,7,234.33999999999997,2
13918.0,50,27,828.84,2
13607.0,41,95,674.37,1
14285.0,22,26,1893.06,1
16596.0,16,12,250.14999999999998,2
18114.0,291,26,178.2,0
14768.0,18,5,192.60000000000002,2
14024.0,122,16,327.7,2
17267.0,128,37,317.2,2
13973.0,288,11,264.7,0
16858.0,369,10,375.69000000000005,0
13121.0,270,50,283.73,0
16656.0,23,47,3124.9999999999995,1
13649.0,257,23,346.6,0
15397.0,290,6,94.0,0
13811.0,184,10,519.75,0
15145.0,5,66,1178.78,1
13937.0,170,9,158.85,0
12550.0,80,55,820.27,2
13142.0,20,23,307.09000000000003,2
14760.0,298,5,89.2,0
16212.0,20,41,690.3399999999999,2
15067.0,79,81,1704.86,1
16957.0,240,16,416.63999999999993,0
13930.0,58,17,337.34,2
13160.0,23,4,91.8,2
15160.0,358,4,158.16,0
15311.0,1,2328,56413.33999999997,1
15898.0,2,83,1367.88,1
17392.0,307,54,365.37,0
12967.0,359,17,1301.5,0
15750.0,3,291,2463.05,1
16353.0,4,94,6675.710000000001,1
17659.0,18,153,2885.1699999999996,1
17062.0,314,66,517.3700000000001,0
14233.0,50,34,1230.7200000000003,2
14064.0,30,76,1023.3000000000001,1
14211.0,54,112,2241.1,1
16600.0,5,58,794.08,1
13592.0,36,15,231.00999999999996,2
12609.0,79,56,960.29,1
12521.0,143,37,545.68,2
15372.0,138,21,1498.12,2
18263.0,26,56,1185.04,1
13430.0,19,43,651.2500000000001,2
14014.0,78,35,490.29999999999995,2
13596.0,6,146,664.11,1
13161.0,314,8,112.75,0
13763.0,64,15,1714.96,2
17879.0,174,6,178.51999999999998,0
13846.0,25,54,848.4100000000001,1
13458.0,8,381,9642.01,1
18210.0,2,133,2604.43,1
12394.0,64,23,629.9200000000001,2
14959.0,65,59,695.4200000000001,2
14009.0,199,42,695.61,0
17063.0,22,78,1461.14,1
17070.0,115,62,304.24,2
14306.0,52,31,1885.64,1
16208.0,45,65,642.3100000000001,2
16056.0,46,66,650.75,2
14756.0,16,37,705.6599999999999,2
16800.0,12,155,1137.65,1
13496.0,11,35,653.33,2
17343.0,356,16,176.69,0
12600.0,29,54,2311.040000000001,1
16539.0,3,45,1388.81,1
17675.0,2,701,20257.58,1
16222.0,319,121,757.6,0
13871.0,23,336,6403.249999999999,1
16036.0,88,54,728.68,2
15953.0,16,97,1657.28,1
13849.0,52,99,1530.3199999999997,1
14660.0,87,26,274.21999999999997,2
13927.0,75,21,348.99,2
15398.0,17,73,1345.53,1
15707.0,36,205,916.9799999999999,1
15113.0,10,95,3425.91,1
13212.0,20,139,734.9300000000001,1
18126.0,61,51,200.52000000000004,2
15567.0,19,5,174.49,2
17881.0,305,8,133.35000000000002,0
14208.0,95,10,151.74,2
15156.0,2,55,961.4899999999999,1
13929.0,170,9,842.6499999999999,0
16550.0,109,248,2245.9800000000005,1
17400.0,127,205,2080.89,1
14565.0,96,124,2949.12,1
14270.0,332,29,492.65,0
14048.0,306,85,409.93,0
17138.0,276,24,380.50000000000006,0
17863.0,60,147,3066.4000000000005,1
15910.0,1,265,1226.0,1
16573.0,85,42,663.61,2
14165.0,276,24,120.44000000000001,0
15674.0,74,111,2100.49,1
14640.0,25,104,2074.08,1
17263.0,209,23,63.440000000000005,0
15149.0,134,23,520.8,2
17248.0,121,69,318.65,2
15950.0,32,97,1744.7100000000003,1
14171.0,99,58,363.79,2
15099.0,85,23,410.48,2
12856.0,8,310,2167.9,1
12581.0,40,14,179.70999999999998,2
15017.0,34,20,125.58000000000001,2
14815.0,37,53,778.5000000000001,2
15100.0,334,3,876.0,0
13284.0,331,13,201.18999999999997,0
12775.0,18,60,1264.09,1
17298.0,102,29,496.52,2
14353.0,216,6,90.6,0
17634.0,37,296,2358.5899999999997,1
15498.0,3,510,13225.240000000002,1
12481.0,23,203,4917.78,1
15996.0,89,125,974.6800000000001,1
16265.0,10,247,5019.469999999999,1
17811.0,5,826,7744.68,1
13744.0,96,62,1038.76,1
13719.0,16,59,1016.68,1
13577.0,26,83,1687.6000000000001,1
13505.0,73,211,3633.63,1
12414.0,218,15,442.40999999999997,0
12517.0,29,276,2301.6,1
13435.0,6,96,3746.53,1
16653.0,17,68,1195.71,1
14910.0,3,30,434.35,2
13573.0,51,24,267.21,2
18059.0,24,18,306.46,2
12690.0,206,15,335.01,0
16697.0,242,21,112.75000000000001,0
13370.0,372,39,754.87,0
12585.0,235,83,1653.9599999999998,1
14985.0,199,82,290.33,0
16746.0,5,432,6443.890000000001,1
15535.0,174,72,502.90000000000003,2
15622.0,44,178,3465.11,1
15981.0,25,97,3408.48,1
12383.0,185,92,1564.7199999999998,1
16818.0,11,184,3267.94,1
15349.0,159,71,463.91,2
12424.0,163,29,1608.3200000000002,2
15829.0,100,47,615.02,2
17339.0,95,9,243.36,2
15803.0,52,8,415.82000000000005,2
17523.0,12,27,261.99,2
17562.0,15,62,1119.02,1
14886.0,253,18,364.8,0
16349.0,291,8,37.55,0
13414.0,134,22,568.5,2
17320.0,101,73,1200.6200000000001,1
16945.0,22,246,4327.74,1
16271.0,16,126,1366.84,1
13634.0,34,186,1547.3600000000001,1
16948.0,139,17,348.62,2
15521.0,41,181,2687.35,1
16150.0,43,117,2053.0200000000004,1
16193.0,237,19,314.45,0
17262.0,53,12,1253.3600000000001,2
14690.0,45,48,355.05,2
17649.0,139,51,851.54,2
17031.0,12,22,380.35,2
12616.0,96,30,641.3,2
15253.0,17,53,918.2,1
17193.0,36,30,1498.42,1
15886.0,61,11,172.45,2
13673.0,19,59,357.49,2
15471.0,3,73,454.47999999999996,2
15445.0,265,5,113.5,0
15405.0,190,8,349.1,0
17514.0,129,39,206.75,2
15667.0,40,13,301.32000000000005,2
16665.0,363,9,135.39999999999998,0
12471.0,3,437,17371.7,1
16985.0,18,120,5464.119999999999,1
15303.0,291,30,542.1200000000001,0
18196.0,96,138,684.9499999999999,1
14816.0,198,2,21.85,0
16178.0,139,8,197.89999999999998,2
13023.0,65,38,599.9,2
13259.0,62,81,283.18,2
17203.0,36,146,3338.68,1
17874.0,186,45,649.5600000000001,0
12639.0,239,21,366.09999999999997,0
15608.0,29,60,1093.68,1
16330.0,18,38,251.67000000000002,2
13617.0,41,44,544.18,2
18001.0,13,56,398.18000000000006,2
17555.0,20,104,477.43000000000006,1
12583.0,3,224,6472.29,1
18077.0,9,223,2584.4100000000003,1
14038.0,79,92,1560.38,1
15584.0,24,121,704.2099999999999,1
18200.0,107,29,149.96999999999997,2
18167.0,24,37,1384.8600000000004,1
13979.0,74,53,866.9900000000001,2
13809.0,306,12,155.05,0
14368.0,320,8,155.0,0
17358.0,304,58,360.81,0
16402.0,265,57,293.44999999999993,0
15291.0,26,100,4227.3,1
16531.0,23,75,1205.89,1
14805.0,16,46,546.4,2
14934.0,82,86,1873.99,1
13015.0,54,173,3027.69,1
13037.0,139,48,881.0699999999998,2
12700.0,8,263,4523.110000000001,1
17886.0,32,100,835.38,1
13515.0,73,59,891.12,1
13484.0,242,8,313.8,0
14145.0,47,11,3742.2,1
12562.0,9,158,3250.1400000000003,1
13629.0,24,53,5715.36,1
15411.0,27,97,1344.3700000000001,1
16201.0,4,110,1858.91,1
